index,county,month_date_yyyymm,county_fips,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,pending_ratio,quality_flag,code,state,index,county,state,total,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races,total_hispanic_or_latino,fips
730,Geneva,202301,01061,175950,35,82,10,0,8,6,106,1800,215215,42,0.1714,1,AL,Alabama,1985,Geneva,Alabama,26659,25140,22078,2241,182,89,7,543,1519,1296,01061
1445,Greene,202301,01063,324500,11,73,0,0,0,2,120,2919,323880,12,0.1905,1,AL,Alabama,203,Greene,Alabama,7730,7592,1301,6246,5,7,0,33,138,61,01063
2325,Hale,202301,01065,212975,21,49,18,24,4,21,141,1600,214133,41,1.0244,0,AL,Alabama,204,Hale,Alabama,14785,14481,5999,8337,39,25,15,66,304,149,01065
2382,Henry,202301,01067,337450,52,97,20,2,6,3,160,1888,315786,55,0.0485,1,AL,Alabama,1986,Henry,Alabama,17146,16464,11888,4248,50,73,4,201,682,334,01067
1613,Houston,202301,01069,236225,195,69,110,0,48,30,115,2116,279661,225,0.1538,0,AL,Alabama,205,Houston,Alabama,107202,101611,69265,28408,496,1282,63,2097,5591,4481,01069
573,Jackson,202301,01071,272000,88,80,30,0,28,17,131,2051,370458,105,0.1932,0,AL,Alabama,206,Jackson,Alabama,52579,49025,45480,1636,770,214,4,921,3554,1681,01071
3063,Jefferson,202301,01073,219450,1452,65,790,42,504,907,129,1636,295360,2353,0.6249,0,AL,Alabama,1987,Jefferson,Alabama,674721,645772,329590,281326,2321,13109,352,19074,28949,34856,01073
2683,Lamar,202301,01075,133500,19,78,8,0,2,2,75,1820,178537,21,0.1053,1,AL,Alabama,207,Lamar,Alabama,13972,13530,11962,1425,35,6,6,96,442,208,01075
233,Lauderdale,202301,01077,298250,168,70,86,0,34,90,141,2034,428681,257,0.5373,0,AL,Alabama,208,Lauderdale,Alabama,93564,89106,77141,9243,368,770,32,1552,4458,3078,01077
2429,Lawrence,202301,01079,213750,39,99,18,0,12,8,114,1874,301771,48,0.2051,1,AL,Alabama,1988,Lawrence,Alabama,33073,30199,24915,3304,1447,87,8,438,2874,895,01079
1462,Lee,202301,01081,379900,499,87,228,20,126,42,175,2341,439256,542,0.0842,1,AL,Alabama,209,Lee,Alabama,174241,165025,111651,39570,720,8572,120,4392,9216,9135,01081
2320,Limestone,202301,01083,399900,392,77,188,14,162,37,170,2357,443929,436,0.0932,1,AL,Alabama,1989,Limestone,Alabama,103570,96885,77064,13307,708,1869,75,3862,6685,7248,01083
618,Lowndes,202301,01085,186175,6,147,2,0,0,4,92,2351,249277,10,0.5833,1,AL,Alabama,210,Lowndes,Alabama,10311,10086,2818,7192,17,15,5,39,225,140,01085
957,Macon,202301,01087,145000,25,114,6,0,2,5,79,1781,238004,29,0.18,0,AL,Alabama,211,Macon,Alabama,19532,19032,3252,15441,48,74,4,213,500,361,01087
1292,Madison,202301,01089,389225,1137,67,538,40,450,192,167,2353,465429,1340,0.1685,1,AL,Alabama,1990,Madison,Alabama,388153,358764,242510,92066,2978,10292,482,10436,29389,24936,01089
2284,Marengo,202301,01091,110000,17,100,2,0,4,4,90,1683,152494,21,0.2353,1,AL,Alabama,212,Marengo,Alabama,19323,18900,8428,10188,9,54,3,218,423,368,01091
565,Marion,202301,01093,160519,58,84,14,0,16,10,94,1789,242071,67,0.1724,0,AL,Alabama,213,Marion,Alabama,29341,28028,26312,1106,106,75,14,415,1313,863,01093
1626,Marshall,202301,01095,349725,217,71,70,4,62,30,157,2285,520828,249,0.1359,0,AL,Alabama,1991,Marshall,Alabama,97612,91078,76926,2428,1398,602,137,9587,6534,15658,01095
1790,Mobile,202301,01097,237450,725,69,468,12,240,97,131,1796,311915,818,0.1332,0,AL,Alabama,214,Mobile,Alabama,414809,394678,229550,146254,4057,8585,234,5998,20131,13425,01097
134,Monroe,202301,01099,143250,40,87,10,0,8,4,86,1929,199795,44,0.1013,1,AL,Alabama,215,Monroe,Alabama,19772,19149,10391,8299,289,88,3,79,623,207,01099
2948,Montgomery,202301,01101,221000,519,75,268,8,134,188,108,2072,285234,697,0.3622,0,AL,Alabama,1992,Montgomery,Alabama,228954,220759,75074,130467,795,7995,146,6282,8195,10684,01101
2035,Morgan,202301,01103,319900,167,74,84,0,76,43,140,2250,368844,212,0.2583,1,AL,Alabama,216,Morgan,Alabama,123421,115182,89869,15453,951,850,85,7974,8239,12377,01103
273,Perry,202301,01105,163500,16,151,0,0,2,1,72,2188,201502,16,0.0645,0,AL,Alabama,1993,Perry,Alabama,8511,8335,2359,5936,16,10,3,11,176,89,01105
425,Pickens,202301,01107,182700,32,90,2,0,10,4,98,1734,205726,36,0.1094,1,AL,Alabama,217,Pickens,Alabama,19123,18623,10739,7489,27,78,0,290,500,1053,01107
67,Pike,202301,01109,207000,74,89,20,0,4,3,127,1680,226311,77,0.0405,0,AL,Alabama,218,Pike,Alabama,33009,31653,18275,12138,192,588,21,439,1356,905,01109
2662,Randolph,202301,01111,305000,62,90,20,0,14,16,157,1903,426080,79,0.25,1,AL,Alabama,1994,Randolph,Alabama,21967,21123,16772,3815,76,87,3,370,844,605,01111
21,Russell,202301,01113,258350,82,79,54,0,22,37,109,2020,258209,116,0.4451,1,AL,Alabama,219,Russell,Alabama,59183,55776,27532,26243,228,420,140,1213,3407,3195,01113
586,St. clair,202301,01115,288495,298,87,128,44,92,140,164,1798,337455,438,0.4698,0,AL,Alabama,220,St. clair,Alabama,91103,86452,75728,8652,324,663,21,1064,4651,2575,01115
1697,Shelby,202301,01117,413043,512,72,272,8,158,372,181,2445,531812,884,0.7266,1,AL,Alabama,1995,Shelby,Alabama,223024,209440,165206,28939,1128,5152,108,8907,13584,16460,01117
2993,Sumter,202301,01119,138500,6,74,4,0,0,5,74,1675,146582,11,0.8182,1,AL,Alabama,221,Sumter,Alabama,12345,12131,2974,8997,26,102,5,27,214,131,01119
2579,Talladega,202301,01121,214200,180,82,76,12,32,73,118,1730,266870,252,0.4039,0,AL,Alabama,1996,Talladega,Alabama,82149,79241,51214,26439,209,395,27,957,2908,1779,01121
2626,Tallapoosa,202301,01123,440000,130,92,58,0,14,24,247,2077,622135,154,0.1808,1,AL,Alabama,222,Tallapoosa,Alabama,41311,39912,28477,10409,127,222,0,677,1399,1144,01123
2296,Tuscaloosa,202301,01125,299250,451,71,220,12,124,204,160,1896,405521,654,0.4512,0,AL,Alabama,223,Tuscaloosa,Alabama,227036,216301,136582,69088,963,3253,104,6311,10735,12298,01125
2411,Walker,202301,01127,290700,139,70,38,4,30,46,143,1984,457185,181,0.3285,0,AL,Alabama,1997,Walker,Alabama,65342,62612,57012,3929,321,297,6,1047,2730,2152,01127
2281,Washington,202301,01129,139000,17,100,2,0,4,1,104,1852,490524,18,0.0606,1,AL,Alabama,224,Washington,Alabama,15388,14816,10309,3318,1114,14,7,54,572,138,01129
2934,Wilcox,202301,01131,239000,13,151,0,0,4,1,97,2608,244431,14,0.0769,1,AL,Alabama,225,Wilcox,Alabama,10600,10422,2880,7483,11,7,6,35,178,112,01131
2073,Winston,202301,01133,447475,80,103,28,0,10,19,229,2017,621407,99,0.2375,0,AL,Alabama,1998,Winston,Alabama,23540,22473,21760,141,113,61,9,389,1067,815,01133
2738,Aleutians west,202301,02016,642500,1,164,0,0,0,,318,2020,642500,1,,0,AK,Alaska,685,Aleutians west,Alaska,5232,4858,1667,259,728,1513,239,452,374,668,02016
390,Anchorage,202301,02020,450925,224,73,204,4,52,1,236,1891,522373,225,0.0045,0,AK,Alaska,686,Anchorage,Alaska,291247,250445,164446,14576,23661,27646,10001,10115,40802,26438,02020
2135,Bethel,202301,02050,298750,4,133,0,0,0,,166,1170,338250,4,,1,AK,Alaska,2213,Bethel,Alaska,18666,17650,1665,85,15632,202,2,64,1016,207,02050
2550,Denali,202301,02068,131250,2,103,0,0,0,,155,992,147900,2,,1,AK,Alaska,689,Denali,Alaska,1619,1480,1382,11,61,13,5,8,139,32,02068
3098,Dillingham,202301,02070,600000,4,167,2,0,0,,168,1825,571000,4,,1,AK,Alaska,690,Dillingham,Alaska,4857,4361,799,25,3453,48,9,27,496,146,02070
507,Fairbanks north star,202301,02090,317450,144,84,64,0,32,5,168,1801,334967,149,0.0313,0,AK,Alaska,2215,Fairbanks north star,Alaska,95655,83485,65971,4014,7555,3104,604,2237,12170,7320,02090
1583,Haines,202301,02100,305000,15,167,0,0,0,1,173,2315,498600,16,0.0667,0,AK,Alaska,691,Haines,Alaska,2080,1838,1589,2,214,14,2,17,242,67,02100
797,Hoonah-angoon,202301,02105,219950,6,201,4,0,0,2,182,1156,217483,8,0.3333,0,AK,Alaska,692,Hoonah-angoon,Alaska,2365,2081,1147,6,878,16,5,29,284,120,02105
2013,Juneau,202301,02110,431225,42,113,14,0,8,37,297,1376,451300,79,0.881,0,AK,Alaska,2216,Juneau city and,Alaska,32255,27318,20124,350,3614,2101,476,653,4937,2077,02110
2360,Kenai peninsula,202301,02122,399000,149,119,40,0,18,,235,1809,580258,149,,0,AK,Alaska,693,Kenai peninsula,Alaska,58799,52811,46382,386,4228,809,182,824,5988,2328,02122
1707,Ketchikan gateway,202301,02130,395500,28,111,12,0,0,13,232,1705,380359,41,0.4643,0,AK,Alaska,694,Ketchikan gateway,Alaska,13948,12246,8430,103,2334,1129,26,224,1702,650,02130
1594,Kodiak island,202301,02150,299900,19,961,0,0,2,1,189,1652,651853,21,0.0526,1,AK,Alaska,2217,Kodiak island,Alaska,13101,11794,6570,90,1826,2803,117,388,1307,1024,02150
1951,Lake and peninsula,202301,02164,325000,1,195,0,0,0,,161,2016,325000,1,,0,AK,Alaska,2218,Lake and peninsula,Alaska,1476,1309,303,2,994,9,1,0,167,34,02164
3106,Matanuska-susitna,202301,02170,407450,277,92,120,2,46,,245,1794,430113,277,,0,AK,Alaska,696,Matanuska-susitna,Alaska,107081,94782,83035,1121,6844,1559,506,1717,12299,5244,02170
3096,Nome,202301,02180,575000,1,169,0,0,0,,285,2016,575000,1,,1,AK,Alaska,697,Nome,Alaska,10046,9205,1422,55,7556,111,5,56,841,186,02180
590,North slope,202301,02185,110999,1,8,0,0,0,,52,2132,110999,1,,1,AK,Alaska,2219,North slope,Alaska,11031,10072,3082,162,5748,641,321,118,959,548,02185
2552,Northwest arctic,202301,02188,249000,1,4,2,0,0,,263,948,249000,1,,0,AK,Alaska,698,Northwest arctic,Alaska,7793,7331,700,72,6469,55,12,23,462,102,02188
2143,Petersburg,202301,02195,427000,3,111,0,0,0,,290,1505,461666,3,,1,AK,Alaska,699,Petersburg,Alaska,3398,2962,2470,49,247,123,12,61,436,164,02195
2592,Prince of wales-hyder,202301,02198,342500,22,194,0,0,0,2,255,1500,459227,24,0.093,1,AK,Alaska,2220,Prince of wales-hyder,Alaska,5753,5095,2403,22,2584,27,30,29,658,160,02198
3092,Sitka,202301,02220,801500,6,69,4,0,0,3,430,3383,1489917,9,0.4167,0,AK,Alaska,700,Sitka city and,Alaska,8458,7261,5174,37,1248,573,14,215,1197,501,02220
2366,Skagway,202301,02230,1224500,2,307,0,0,0,1,213,5996,1224500,3,0.5,0,AK,Alaska,701,Skagway,Alaska,1240,1160,1070,10,32,39,0,9,80,41,02230
1490,Southeast fairbanks,202301,02240,394250,36,144,0,0,6,2,171,2053,443087,37,0.0563,1,AK,Alaska,2221,Southeast fairbanks,Alaska,6808,6216,5085,74,817,87,16,137,592,376,02240
2354,,202301,02261,184975,13,116,4,0,0,,131,1734,234000,13,,1,,,,,,,,,,,,,,,,
2554,Wrangell,202301,02275,456000,8,207,0,0,0,1,288,1650,430875,9,0.125,1,AK,Alaska,702,Wrangell city and,Alaska,2127,1789,1352,0,380,25,2,30,338,76,02275
793,Yukon-koyukuk,202301,02290,130000,3,142,0,0,0,,156,1000,140000,3,,1,AK,Alaska,704,Yukon-koyukuk,Alaska,5343,5008,1130,7,3832,8,3,28,335,72,02290
550,Apache,202301,04001,412250,82,119,16,0,6,10,237,1737,504261,93,0.122,0,AZ,Arizona,2732,Apache,Arizona,66021,63631,14873,185,47016,312,20,1225,2390,3861,04001
2087,Cochise,202301,04003,314120,340,83,148,4,86,152,170,1865,411190,490,0.4462,0,AZ,Arizona,2733,Cochise,Arizona,125447,103904,81733,4783,1510,2712,488,12678,21543,42615,04003
2567,Coconino,202301,04005,743750,287,92,96,4,54,83,363,2061,1039782,370,0.2892,1,AZ,Arizona,2734,Coconino,Arizona,145101,132138,83360,1961,36225,2674,262,7656,12963,21719,04005
3094,Gila,202301,04007,457500,214,88,82,2,56,69,283,1647,565391,283,0.3232,0,AZ,Arizona,2735,Gila,Arizona,53272,48680,35904,282,8928,445,48,3073,4592,9283,04007
139,Graham,202301,04009,299000,54,120,12,0,22,26,165,1947,372974,79,0.4815,0,AZ,Arizona,2736,Graham,Arizona,38533,34407,25043,537,5390,192,20,3225,4126,11428,04009
1196,Greenlee,202301,04011,235000,4,205,0,0,2,1,113,1811,1015000,5,0.25,0,AZ,Arizona,2737,Greenlee,Arizona,9563,7999,6584,87,355,75,5,893,1564,4376,04011
2511,La paz,202301,04012,366950,42,80,14,0,6,6,257,1403,526975,47,0.1325,1,AZ,Arizona,2738,La paz,Arizona,16557,14496,9772,114,2833,115,49,1613,2061,4197,04012
539,Maricopa,202301,04013,499023,11524,74,6248,298,6706,4783,274,1918,809405,16300,0.415,1,AZ,Arizona,2739,Maricopa,Arizona,4420568,3819893,2645512,260469,100645,203696,10966,598605,600675,1351415,04013
774,Mohave,202301,04015,400725,1183,94,394,16,388,456,244,1655,481943,1636,0.3856,1,AZ,Arizona,2740,Mohave,Arizona,213267,192957,169732,2221,5185,2734,409,12676,20310,34126,04015
1519,Navajo,202301,04017,472248,301,91,64,2,82,42,269,1883,564707,341,0.1381,1,AZ,Arizona,2741,Navajo,Arizona,106717,100434,48430,760,47442,567,86,3149,6283,10887,04017
2563,Pima,202301,04019,376465,2377,62,1396,42,1080,1362,219,1813,523865,3737,0.5731,0,AZ,Arizona,2742,Pima,Arizona,1043433,869188,633382,39954,34593,31367,2229,127663,174245,372788,04019
2529,Pinal,202301,04021,397350,2094,85,966,66,1096,762,214,1915,461848,2856,0.3637,1,AZ,Arizona,2743,Pinal,Arizona,425264,370288,269258,21968,21128,6718,1219,49997,54976,121533,04021
682,Santa cruz,202301,04023,329975,169,83,62,0,30,52,197,1782,540077,224,0.3056,1,AZ,Arizona,2744,Santa cruz,Arizona,47669,30658,15929,187,457,304,19,13762,17011,39632,04023
178,Yavapai,202301,04025,622500,946,91,360,10,352,359,308,2036,812625,1300,0.3792,1,AZ,Arizona,2745,Yavapai,Arizona,236209,213970,192507,1543,4283,2932,294,12411,22239,34390,04025
259,Yuma,202301,04027,298388,347,59,190,2,100,103,201,1562,342969,457,0.2973,1,AZ,Arizona,2746,Yuma,Arizona,203881,152053,90318,4099,3522,2587,283,51244,51828,130003,04027
2375,Arkansas,202301,05001,115250,54,151,16,0,6,12,65,1680,153485,66,0.2243,1,AR,Arkansas,2189,Arkansas,Arkansas,17149,16406,11698,4156,44,94,9,405,743,636,05001
244,Ashley,202301,05003,136650,22,65,10,0,2,4,74,1867,147239,29,0.1818,1,AR,Arkansas,446,Ashley,Arkansas,19062,18355,12958,4669,56,41,6,625,707,1114,05003
1603,Baxter,202301,05005,279600,133,101,60,0,28,69,144,1806,389707,200,0.517,0,AR,Arkansas,447,Baxter,Arkansas,41627,39404,38489,90,255,234,9,327,2223,1058,05005
1492,Benton,202301,05007,399107,1125,80,480,32,318,738,192,2064,570574,1869,0.6556,1,AR,Arkansas,2190,Benton,Arkansas,284333,252922,201188,4732,5093,13721,2629,25559,31411,50540,05007
2268,Boone,202301,05009,322450,103,83,44,2,14,54,143,2189,474543,156,0.5243,0,AR,Arkansas,448,Boone,Arkansas,37373,35045,34128,108,276,246,28,259,2328,973,05009
434,Bradley,202301,05011,156875,18,134,4,0,0,4,92,1685,155475,22,0.2222,1,AR,Arkansas,2191,Bradley,Arkansas,10545,10105,5890,2937,92,30,0,1156,440,1575,05011
2602,Calhoun,202301,05013,148750,4,121,2,0,0,1,91,1682,150000,5,0.2857,1,AR,Arkansas,449,Calhoun,Arkansas,4739,4531,3539,913,10,6,9,54,208,127,05013
1329,Carroll,202301,05015,323400,109,111,24,0,14,31,166,2011,542510,139,0.2857,1,AR,Arkansas,450,Carroll,Arkansas,28260,25902,21952,95,369,567,444,2475,2358,4306,05015
1307,Chicot,202301,05017,146250,10,50,6,0,2,3,91,1481,198217,12,0.25,1,AR,Arkansas,2192,Chicot,Arkansas,10208,9867,3953,5417,36,38,9,414,341,581,05017
2154,Clark,202301,05019,164000,52,76,16,0,12,16,100,1681,205349,66,0.3107,1,AR,Arkansas,451,Clark,Arkansas,21446,20333,14316,5127,96,153,18,623,1113,1092,05019
1201,Clay,202301,05021,114125,36,99,10,0,8,11,79,1300,144751,46,0.3056,1,AR,Arkansas,452,Clay,Arkansas,14552,13937,13731,42,44,15,8,97,615,327,05021
2226,Cleburne,202301,05023,352725,94,81,32,0,2,27,160,2117,441101,121,0.2819,0,AR,Arkansas,2193,Cleburne,Arkansas,24711,23500,22953,69,133,102,11,232,1211,632,05023
2443,Cleveland,202301,05025,284950,5,102,6,0,2,3,97,2368,216350,8,0.5,1,AR,Arkansas,453,Cleveland,Arkansas,7550,7282,6466,686,35,7,1,87,268,182,05025
1269,Columbia,202301,05027,185000,53,90,12,0,8,5,101,1872,210622,57,0.0857,1,AR,Arkansas,454,Columbia,Arkansas,22801,21960,13371,7866,74,168,0,481,841,773,05027
2652,Conway,202301,05029,143450,29,84,16,0,6,14,109,1685,238812,41,0.4737,1,AR,Arkansas,2194,Conway,Arkansas,20715,19274,16367,2209,167,90,8,433,1441,886,05029
599,Craighead,202301,05031,229925,347,70,180,4,70,68,136,1826,280787,413,0.196,1,AR,Arkansas,455,Craighead,Arkansas,111231,104667,80639,18473,356,1692,61,3446,6564,6727,05031
8,Crawford,202301,05033,242350,101,74,42,0,22,9,128,1890,302883,108,0.0842,1,AR,Arkansas,2195,Crawford,Arkansas,60133,54317,48610,897,1486,947,35,2342,5816,4567,05033
2958,Crittenden,202301,05035,224750,76,82,38,0,14,46,114,1907,240948,120,0.5987,1,AR,Arkansas,456,Crittenden,Arkansas,48163,46344,19276,25905,136,327,17,683,1819,1428,05035
1232,Cross,202301,05037,214400,25,55,8,0,4,16,94,2106,224387,40,0.64,1,AR,Arkansas,457,Cross,Arkansas,16833,16172,12213,3658,48,102,5,146,661,352,05037
778,Dallas,202301,05039,106175,9,64,4,0,0,1,76,1522,133475,10,0.1176,1,AR,Arkansas,2196,Dallas,Arkansas,6482,6206,3487,2592,17,7,0,103,276,201,05039
152,Desha,202301,05041,134500,13,105,4,0,0,6,61,1927,151266,19,0.4231,0,AR,Arkansas,458,Desha,Arkansas,11395,10882,4845,5398,47,61,4,527,513,773,05041
2392,Drew,202301,05043,154000,31,119,6,0,2,8,105,2140,195420,39,0.2419,1,AR,Arkansas,459,Drew,Arkansas,17350,16714,11291,4846,90,108,13,366,636,656,05043
2719,Faulkner,202301,05045,297950,165,60,116,0,50,123,149,1950,349433,288,0.7424,1,AR,Arkansas,2197,Faulkner,Arkansas,123498,114076,94088,14384,719,1475,73,3337,9422,6790,05045
298,Franklin,202301,05047,186825,58,117,24,0,16,10,120,1604,242334,69,0.1724,1,AR,Arkansas,460,Franklin,Arkansas,17097,16016,15367,79,214,163,10,183,1081,491,05047
3007,Fulton,202301,05049,228125,57,125,12,0,4,12,126,1715,329984,69,0.2035,0,AR,Arkansas,461,Fulton,Arkansas,12075,11440,11249,27,66,35,0,63,635,154,05049
238,Garland,202301,05051,315000,408,87,156,2,106,126,166,1730,442072,501,0.3076,0,AR,Arkansas,2198,Garland,Arkansas,100180,92181,78837,8128,802,972,71,3371,7999,7047,05051
715,Grant,202301,05053,183100,39,54,22,0,16,15,117,1697,236218,55,0.3896,1,AR,Arkansas,462,Grant,Arkansas,17958,17099,16304,458,81,77,1,178,859,440,05053
232,Greene,202301,05055,181150,85,80,56,0,18,50,111,1643,225429,134,0.5824,0,AR,Arkansas,2199,Greene,Arkansas,45736,43306,41038,933,163,181,292,699,2430,1596,05055
2233,Hempstead,202301,05057,166750,33,132,4,0,0,5,87,1772,188210,38,0.1364,1,AR,Arkansas,463,Hempstead,Arkansas,20065,18713,11006,5683,140,96,5,1783,1352,2953,05057
2691,Hot spring,202301,05059,172450,57,83,20,0,14,21,103,1825,241589,76,0.3596,1,AR,Arkansas,464,Hot spring,Arkansas,33040,30970,26525,3472,189,114,11,659,2070,1265,05059
515,Howard,202301,05061,180000,24,117,6,0,2,4,102,1870,194945,27,0.1489,1,AR,Arkansas,2200,Howard,Arkansas,12785,12025,8164,2642,114,63,6,1036,760,1517,05061
2927,Independence,202301,05063,214725,59,74,18,0,14,9,113,1975,293220,68,0.1538,0,AR,Arkansas,465,Independence,Arkansas,37938,35512,32108,849,243,345,33,1934,2426,3258,05063
1685,Izard,202301,05065,197000,61,96,26,0,6,11,128,1600,308304,72,0.1803,1,AR,Arkansas,466,Izard,Arkansas,13577,12810,12306,256,87,27,11,123,767,326,05065
